Angaben.in.[GWh];Jahr;GWh
Gesamt;01.01.2006;115298
biogene Festbrennstoffe (Haushalte);01.01.2007;64092
biogene Festbrennstoffe (GHD);01.01.2007;11443
biogene Festbrennstoffe (Industrie);01.01.2007;22367
biogene Festbrennstoffe (HW/HKW);01.01.2007;2225
biogene flüssige Brennstoffe;01.01.2007;2834
Biogas;01.01.2007;3638
Biomethan;01.01.2007;21
Klargas;01.01.2007;1858
Deponiegas;01.01.2007;210
biogene gasförmige Brennstoffe;01.01.2007;0
biogener Anteil des Abfalls;01.01.2007;10747
Solarthermie;01.01.2007;3746
tiefe Geothermie;01.01.2007;524
oberflächennahe Geothermie,  Umweltwärme;01.01.2007;3437
Gesamt;01.01.2007;127142
biogene Festbrennstoffe (Haushalte);01.01.2008;74020
biogene Festbrennstoffe (GHD);01.01.2008;16046
biogene Festbrennstoffe (Industrie);01.01.2008;20156
biogene Festbrennstoffe (HW/HKW);01.01.2008;2759
biogene flüssige Brennstoffe;01.01.2008;3409
Biogas;01.01.2008;3478
Biomethan;01.01.2008;65
Klargas;01.01.2008;1972
Deponiegas;01.01.2008;154
biogene gasförmige Brennstoffe;01.01.2008;0
biogener Anteil des Abfalls;01.01.2008;6662
Solarthermie;01.01.2008;4293
tiefe Geothermie;01.01.2008;550
oberflächennahe Geothermie,  Umweltwärme;01.01.2008;4233
Gesamt;01.01.2008;137797
biogene Festbrennstoffe (Haushalte);01.01.2009;65220
biogene Festbrennstoffe (GHD);01.01.2009;16476
biogene Festbrennstoffe (Industrie);01.01.2009;22972
biogene Festbrennstoffe (HW/HKW);01.01.2009;3581
biogene flüssige Brennstoffe;01.01.2009;3660
Biogas;01.01.2009;5060
Biomethan;01.01.2009;131
Klargas;01.01.2009;1977
Deponiegas;01.01.2009;155
biogene gasförmige Brennstoffe;01.01.2009;0
biogener Anteil des Abfalls;01.01.2009;6530
Solarthermie;01.01.2009;5061
tiefe Geothermie;01.01.2009;623
oberflächennahe Geothermie,  Umweltwärme;01.01.2009;5096
Gesamt;01.01.2009;136542
biogene Festbrennstoffe (Haushalte);01.01.2010;79304
biogene Festbrennstoffe (GHD);01.01.2010;21236
biogene Festbrennstoffe (Industrie);01.01.2010;28088
biogene Festbrennstoffe (HW/HKW);01.01.2010;4057
biogene flüssige Brennstoffe;01.01.2010;3366
Biogas;01.01.2010;7472
Biomethan;01.01.2010;490
Klargas;01.01.2010;1999
Deponiegas;01.01.2010;117
biogene gasförmige Brennstoffe;01.01.2010;0
biogener Anteil des Abfalls;01.01.2010;7260
Solarthermie;01.01.2010;5383
tiefe Geothermie;01.01.2010;689
oberflächennahe Geothermie,  Umweltwärme;01.01.2010;5938
Gesamt;01.01.2010;165399
biogene Festbrennstoffe (Haushalte);01.01.2011;71904
biogene Festbrennstoffe (GHD);01.01.2011;15813
biogene Festbrennstoffe (Industrie);01.01.2011;29089
biogene Festbrennstoffe (HW/HKW);01.01.2011;4665
biogene flüssige Brennstoffe;01.01.2011;2562
Biogas;01.01.2011;8972
Biomethan;01.01.2011;739
Klargas;01.01.2011;2059
Deponiegas;01.01.2011;101
biogene gasförmige Brennstoffe;01.01.2011;0
biogener Anteil des Abfalls;01.01.2011;8140
Solarthermie;01.01.2011;6160
tiefe Geothermie;01.01.2011;722
oberflächennahe Geothermie,  Umweltwärme;01.01.2011;6818
Gesamt;01.01.2011;157744
biogene Festbrennstoffe (Haushalte);01.01.2012;83015
biogene Festbrennstoffe (GHD);01.01.2012;17437
biogene Festbrennstoffe (Industrie);01.01.2012;27793
biogene Festbrennstoffe (HW/HKW);01.01.2012;5776
biogene flüssige Brennstoffe;01.01.2012;2104
Biogas;01.01.2012;8422
Biomethan;01.01.2012;1286
Klargas;01.01.2012;2017
Deponiegas;01.01.2012;94
biogene gasförmige Brennstoffe;01.01.2012;0
biogener Anteil des Abfalls;01.01.2012;9033
Solarthermie;01.01.2012;6416
tiefe Geothermie;01.01.2012;805
oberflächennahe Geothermie,  Umweltwärme;01.01.2012;7766
Gesamt;01.01.2012;171964
biogene Festbrennstoffe (Haushalte);01.01.2013;85941
biogene Festbrennstoffe (GHD);01.01.2013;18696
biogene Festbrennstoffe (Industrie);01.01.2013;25600
biogene Festbrennstoffe (HW/HKW);01.01.2013;5532
biogene flüssige Brennstoffe;01.01.2013;2196
Biogas;01.01.2013;9257
Biomethan;01.01.2013;2059
Klargas;01.01.2013;1805
Deponiegas;01.01.2013;93
biogene gasförmige Brennstoffe;01.01.2013;0
biogener Anteil des Abfalls;01.01.2013;11645
Solarthermie;01.01.2013;6500
tiefe Geothermie;01.01.2013;864
oberflächennahe Geothermie,  Umweltwärme;01.01.2013;8732
Gesamt;01.01.2013;178920
biogene Festbrennstoffe (Haushalte);01.01.2014;69484
biogene Festbrennstoffe (GHD);01.01.2014;14945
biogene Festbrennstoffe (Industrie);01.01.2014;26530
biogene Festbrennstoffe (HW/HKW);01.01.2014;5465
biogene flüssige Brennstoffe;01.01.2014;2372
Biogas;01.01.2014;10451
Biomethan;01.01.2014;2789
Klargas;01.01.2014;1801
Deponiegas;01.01.2014;98
biogene gasförmige Brennstoffe;01.01.2014;0
biogener Anteil des Abfalls;01.01.2014;11380
Solarthermie;01.01.2014;7026
tiefe Geothermie;01.01.2014;1052
oberflächennahe Geothermie,  Umweltwärme;01.01.2014;9643
Gesamt;01.01.2014;163036
biogene Festbrennstoffe (Haushalte);01.01.2015;69477
biogene Festbrennstoffe (GHD);01.01.2015;17137
biogene Festbrennstoffe (Industrie);01.01.2015;25108
biogene Festbrennstoffe (HW/HKW);01.01.2015;5957
biogene flüssige Brennstoffe;01.01.2015;2189
Biogas;01.01.2015;11342
Biomethan;01.01.2015;3451
Klargas;01.01.2015;2001
Deponiegas;01.01.2015;120
biogene gasförmige Brennstoffe;01.01.2015;0
biogener Anteil des Abfalls;01.01.2015;11807
Solarthermie;01.01.2015;7562
tiefe Geothermie;01.01.2015;969
oberflächennahe Geothermie,  Umweltwärme;01.01.2015;10510
Gesamt;01.01.2015;167630
biogene Festbrennstoffe (Haushalte);01.01.2016;66289
biogene Festbrennstoffe (GHD);01.01.2016;16731
biogene Festbrennstoffe (Industrie);01.01.2016;27031
biogene Festbrennstoffe (HW/HKW);01.01.2016;6259
biogene flüssige Brennstoffe;01.01.2016;2188
Biogas;01.01.2016;12108
Biomethan;01.01.2016;3548
Klargas;01.01.2016;2050
Deponiegas;01.01.2016;116
biogene gasförmige Brennstoffe;01.01.2016;0
biogener Anteil des Abfalls;01.01.2016;11669
Solarthermie;01.01.2016;7604
tiefe Geothermie;01.01.2016;1146
oberflächennahe Geothermie,  Umweltwärme;01.01.2016;11408
Gesamt;01.01.2016;168147
biogene Festbrennstoffe (Haushalte);01.01.2017;68393
biogene Festbrennstoffe (GHD);01.01.2017;17450
biogene Festbrennstoffe (Industrie);01.01.2017;26326
biogene Festbrennstoffe (HW/HKW);01.01.2017;6193
biogene flüssige Brennstoffe;01.01.2017;2194
Biogas;01.01.2017;12816
Biomethan;01.01.2017;3261
Klargas;01.01.2017;2141
Deponiegas;01.01.2017;107
biogene gasförmige Brennstoffe;01.01.2017;0
biogener Anteil des Abfalls;01.01.2017;12669
Solarthermie;01.01.2017;7834
tiefe Geothermie;01.01.2017;1168
oberflächennahe Geothermie,  Umweltwärme;01.01.2017;12408
Gesamt;01.01.2017;172960
biogene Festbrennstoffe (Haushalte);01.01.2018;70192
biogene Festbrennstoffe (GHD);01.01.2018;17812
biogene Festbrennstoffe (Industrie);01.01.2018;24522
biogene Festbrennstoffe (HW/HKW);01.01.2018;5740
biogene flüssige Brennstoffe;01.01.2018;2298
Biogas;01.01.2018;12883
Biomethan;01.01.2018;3630
Klargas;01.01.2018;2500
Deponiegas;01.01.2018;110
biogene gasförmige Brennstoffe;01.01.2018;0
biogener Anteil des Abfalls;01.01.2018;14508
Solarthermie;01.01.2018;8955
tiefe Geothermie;01.01.2018;1308
oberflächennahe Geothermie,  Umweltwärme;01.01.2018;13504
Gesamt;01.01.2018;177962
biogene Festbrennstoffe (Haushalte);01.01.2019;71154
biogene Festbrennstoffe (GHD);01.01.2019;19219
biogene Festbrennstoffe (Industrie);01.01.2019;23784
biogene Festbrennstoffe (HW/HKW);01.01.2019;6121
biogene flüssige Brennstoffe;01.01.2019;2383
Biogas;01.01.2019;13295
Biomethan;01.01.2019;3765
Klargas;01.01.2019;2402
Deponiegas;01.01.2019;107
biogene gasförmige Brennstoffe;01.01.2019;0
biogener Anteil des Abfalls;01.01.2019;15308
Solarthermie;01.01.2019;8667
tiefe Geothermie;01.01.2019;1369
oberflächennahe Geothermie,  Umweltwärme;01.01.2019;14655
Gesamt;01.01.2019;182229
biogene Festbrennstoffe (Haushalte);01.01.2020;66874
biogene Festbrennstoffe (GHD);01.01.2020;19101
biogene Festbrennstoffe (Industrie);01.01.2020;23279
biogene Festbrennstoffe (HW/HKW);01.01.2020;6296
biogene flüssige Brennstoffe;01.01.2020;3217
Biogas;01.01.2020;13603
Biomethan;01.01.2020;4023
Klargas;01.01.2020;2378
Deponiegas;01.01.2020;95
biogene gasförmige Brennstoffe;01.01.2020;0
biogener Anteil des Abfalls;01.01.2020;15060
Solarthermie;01.01.2020;9014
tiefe Geothermie;01.01.2020;1427
oberflächennahe Geothermie,  Umweltwärme;01.01.2020;16049
Gesamt;01.01.2020;180416
biogene Festbrennstoffe (Haushalte);01.01.2021;78559
biogene Festbrennstoffe (GHD);01.01.2021;22086
biogene Festbrennstoffe (Industrie);01.01.2021;24820
biogene Festbrennstoffe (HW/HKW);01.01.2021;6831
biogene flüssige Brennstoffe;01.01.2021;2601
Biogas;01.01.2021;13393
Biomethan;01.01.2021;4751
Klargas;01.01.2021;2368
Deponiegas;01.01.2021;85
biogene gasförmige Brennstoffe;01.01.2021;0
biogener Anteil des Abfalls;01.01.2021;15650
Solarthermie;01.01.2021;8551
tiefe Geothermie;01.01.2021;1578
oberflächennahe Geothermie,  Umweltwärme;01.01.2021;17905
Gesamt;01.01.2021;199178
biogene Festbrennstoffe (Haushalte);01.01.2022;80021
biogene Festbrennstoffe (GHD);01.01.2022;20671
biogene Festbrennstoffe (Industrie);01.01.2022;23171
biogene Festbrennstoffe (HW/HKW);01.01.2022;6588
biogene flüssige Brennstoffe;01.01.2022;2455
Biogas;01.01.2022;13611
Biomethan;01.01.2022;4761
Klargas;01.01.2022;2412
Deponiegas;01.01.2022;83
biogene gasförmige Brennstoffe;01.01.2022;0
biogener Anteil des Abfalls;01.01.2022;15073
Solarthermie;01.01.2022;9733
tiefe Geothermie;01.01.2022;1505
oberflächennahe Geothermie,  Umweltwärme;01.01.2022;20465
Gesamt;01.01.2022;200549
