"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"1100","SEE913985941537","medl GmbH","medl BHKW Broich Modul 2 neu","45479","Mülheim","Duisburger Straße","50","Nordrhein-Westfalen","30.11.2020","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,67","2,67",NA,"Verbrennungsmotor","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1101","SEE960155611554","medl GmbH","medl BHKW Broich Modul 3 neu","45479","Mülheim","Duisburger Straße","50","Nordrhein-Westfalen","13.12.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,67","2,67",NA,"Verbrennungsmotor","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1102","SEE906691973961","medl GmbH","medl BHKW Broich Modul 4","45479","Mülheim","Duisburger Straße","50","Nordrhein-Westfalen","29.03.2011","","In Betrieb","Biomasse","Biomethan (Bioerdgas)","Biomasse","Ja","nein","2,00","2,00",NA,"Verbrennungsmotor","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1103","SEE910823411191","BMW AG","Werk 1.1 KWK 1","80809","München","Lerchenauer Straße","76","Bayern","20.02.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,50",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Mittelspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1104","SEE917331286914","BMW AG","Werk 1.1 KWK 2","80809","München","Lerchenauer Straße","76","Bayern","20.02.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,50",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Mittelspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1105","SEE902845037787","BMW AG","Werk 1.1 KWK 3","80809","München","Lerchenauer Straße","76","Bayern","20.02.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,50",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Mittelspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1106","SEE967283752913","BMW AG","Werk 1.5 KWK 1","80937","München","Knorrstraße","147","Bayern","30.04.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,43","3,36",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung"
"1107","SEE995752550746","BMW AG","Werk 1.5 KWK 2","80937","München","Knorrstraße","147","Bayern","30.04.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,43","3,36",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung"
"1108","SEE982889459141","BMW AG","Werk 1.5 KWK 3","80937","München","Knorrstraße","147","Bayern","30.04.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,43","3,36",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung"
"1109","SEE927436598478","BMW AG","Werk 1.5 KWK 4","80937","München","Knorrstraße","147","Bayern","30.04.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,43","3,36",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung"
"1110","SEE945217244789","SWM Services GmbH","SWM HKW Freimann GT11","80807","München","Frankfurter Ring","181","Bayern","01.01.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","53,15","52,45",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung"
"1111","SEE920560912882","SWM Services GmbH","SWM HKW Freimann GT12","80807","München","Frankfurter Ring","181","Bayern","01.01.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","53,47","52,77",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung"
"1112","SEE907223904750","SWM Services GmbH","SWM HKW Sued GuD1 DT1","81371","München","Schäftlarnstraße","15","Bayern","01.10.1980","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","82,70","79,70",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1113","SEE901789931854","SWM Services GmbH","SWM HKW Sued GuD1 GT2","81371","München","Schäftlarnstraße","15","Bayern","01.10.1980","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","98,90","97,90",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1114","SEE985585573104","SWM Services GmbH","SWM HKW Sued GuD1 GT3","81371","München","Schäftlarnstraße","15","Bayern","01.10.1980","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","98,90","97,90",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1115","SEE996720450723","SWM Services GmbH","SWM HKW Sued GuD2 DT60","81371","München","Schäftlarnstraße","15","Bayern","17.11.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","131,59","127,60",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1116","SEE980327120226","SWM Services GmbH","SWM HKW Sued GuD2 GT61","81371","München","Schäftlarnstraße","15","Bayern","17.11.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","145,00","144,80",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1117","SEE976219797843","SWM Services GmbH","SWM HKW Sued GuD2 GT62","81371","München","Schäftlarnstraße","15","Bayern","17.11.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","145,00","144,80",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","SWM Infrastruktur GmbH & Co. KG (SNB969473762610)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1118","SEE990748250273","Flughafen München GmbH","BHKW 1 - AGG1","85356","München-Flughafen","Nordallee","18","Bayern","08.05.1992","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Ja","nein","1,58","1,52",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1119","SEE945332437417","Flughafen München GmbH","BHKW 1 - AGG2","85356","München-Flughafen","Nordallee","18","Bayern","08.05.1992","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Ja","nein","1,58","1,52",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1120","SEE973218123130","Flughafen München GmbH","BHKW 1 - AGG3","85356","München-Flughafen","Nordallee","18","Bayern","08.05.1992","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Ja","nein","1,58","1,52",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1121","SEE943668244310","Flughafen München GmbH","BHKW 1 - AGG4","85356","München-Flughafen","Nordallee","18","Bayern","08.05.1992","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Ja","nein","1,58","1,52",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1122","SEE921499316925","Flughafen München GmbH","BHKW 1 - AGG5","85356","München-Flughafen","Nordallee","18","Bayern","08.05.1992","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Ja","nein","1,58","1,52",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1123","SEE966934929711","Flughafen München GmbH","BHKW 1 - AGG6","85356","München-Flughafen","Nordallee","18","Bayern","08.05.1992","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Ja","nein","1,58","1,52",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1124","SEE942051897355","Flughafen München GmbH","BHKW 1 - AGG7","85356","München-Flughafen","Nordallee","18","Bayern","08.05.1992","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Ja","nein","1,58","1,52",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1125","SEE980130244065","Flughafen München GmbH","BHKW 2 - GOM 1","85356","München-Flughafen","Nordallee","18","Bayern","03.12.2014","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,30","4,21",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1126","SEE976877764072","Flughafen München GmbH","BHKW 2 - GOM 2","85356","München-Flughafen","Nordallee","18","Bayern","04.12.2014","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,30","4,21",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1127","SEE925705511180","Flughafen München GmbH","BHKW 2 - GOM 3","85356","München-Flughafen","Nordallee","18","Bayern","10.12.2014","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,30","4,21",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1128","SEE925623713673","Flughafen München GmbH","BHKW 2 - GOM 4","85356","München-Flughafen","Nordallee","18","Bayern","11.12.2014","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,30","4,21",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1129","SEE946394519998","Terminal 2 Gesellschaft & Co. oHG","BHKW M8","85356","München-Flughafen","Nordallee","18","Bayern","05.06.2002","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,90","3,82",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1130","SEE949201577754","Terminal 2 Gesellschaft & Co. oHG","BHKW M9","85356","München-Flughafen","Nordallee","18","Bayern","05.06.2002","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,90","3,82",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Flughafen München GmbH (SNB919526009605)","Mittelspannung"
"1131","SEE953872640426","Stadtwerke Münster GmbH","Dampfturbine","48155","Münster","Am Mittelhafen","11","Nordrhein-Westfalen","14.12.2005","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","38,00","35,20",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stadtnetze Münster GmbH (SNB980883363112)","Mittelspannung"
"1132","SEE994543149961","Stadtwerke Münster GmbH","ESA-BHKW","48155","Münster","Am Mittelhafen","11","Nordrhein-Westfalen","18.06.2009","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,90","3,70",NA,"Verbrennungsmotor","Volleinspeisung","Stadtnetze Münster GmbH (SNB980883363112)","Mittelspannung"
"1133","SEE991633857065","Stadtwerke Münster GmbH","Gasturbine 1","48155","Münster","Am Mittelhafen","11","Nordrhein-Westfalen","30.12.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","32,00","31,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Stadtnetze Münster GmbH (SNB980883363112)","Mittelspannung"
"1134","SEE924909675933","Stadtwerke Münster GmbH","Gasturbine 2","48155","Münster","Am Mittelhafen","11","Nordrhein-Westfalen","30.12.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","32,00","31,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Stadtnetze Münster GmbH (SNB980883363112)","Mittelspannung"
"1135","SEE982109200867","Schwarz IT KG","RZ-Parkhaus-Stiftsberg-DC01 Modul 1","74172","Neckarsulm","Stiftsbergstraße","1","Baden-Württemberg","01.10.2010","","In Betrieb","Mineralölprodukte","Dieselkraftstoff","Mineralölprodukte","Nein","nein","3,47","2,77",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Mittelspannung"
"1136","SEE973787734782","Schwarz IT KG","RZ-Parkhaus-Stiftsberg-DC01 Modul 2.1","74172","Neckarsulm","Stiftsbergstraße","1","Baden-Württemberg","01.08.2017","","In Betrieb","Mineralölprodukte","","Mineralölprodukte","Nein","nein","3,47","3,47",NA,"Verbrennungsmotor","","Netze BW GmbH (SNB948311994307)","Mittelspannung"
"1137","SEE966970929270","RWE Generation Hydro GmbH","Neef Maschine 1","56858","Neef","Moseluferstraße","","Rheinland-Pfalz","01.01.1966","","In Betrieb","Wasser","","Wasser","Nein","nein","4,10","4,10",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1138","SEE997982071411","RWE Generation Hydro GmbH","Neef Maschine 2","56858","Neef","Moseluferstraße","","Rheinland-Pfalz","01.01.1966","","In Betrieb","Wasser","","Wasser","Nein","nein","4,10","4,10",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1139","SEE944886199833","RWE Generation Hydro GmbH","Neef Maschine 3","56858","Neef","Moseluferstraße","","Rheinland-Pfalz","01.01.1966","","In Betrieb","Wasser","","Wasser","Nein","nein","4,10","4,10",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1140","SEE985446296883","RWE Generation Hydro GmbH","Neef Maschine 4","56858","Neef","Moseluferstraße","","Rheinland-Pfalz","01.01.1966","","In Betrieb","Wasser","","Wasser","Nein","nein","4,10","4,10",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1141","SEE916733797554","Julius Glatz","Turbine 1","67468","Neidenfels","","","Rheinland-Pfalz","01.01.1955","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,15",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Pfalzwerke Netz AG (SNB961471621746)","Mittelspannung"
"1142","SEE981577567892","Julius Glatz","Turbine 2","67468","Neidenfels","","","Rheinland-Pfalz","01.01.1955","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","7,20","6,92",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Pfalzwerke Netz AG (SNB961471621746)","Mittelspannung"
"1143","SEE964935453853","Neubrandenburger Stadtwerke GmbH","DT","17034","Neubrandenburg","Warliner Straße","22","Mecklenburg-Vorpommern","16.05.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","27,50","26,46",NA,"Dampfmotor","Volleinspeisung","Neubrandenburger Stadtwerke GmbH (SNB939624707241)","Mittelspannung"
"1144","SEE975464070619","Neubrandenburger Stadtwerke GmbH","GT1","17034","Neubrandenburg","Warliner Straße","22","Mecklenburg-Vorpommern","16.05.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","24,77","23,76",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Volleinspeisung","Neubrandenburger Stadtwerke GmbH (SNB939624707241)","Mittelspannung"
"1145","SEE932265704129","Neubrandenburger Stadtwerke GmbH","GT2","17034","Neubrandenburg","Warliner Straße","22","Mecklenburg-Vorpommern","16.05.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","24,22","23,13",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Volleinspeisung","Neubrandenburger Stadtwerke GmbH (SNB939624707241)","Mittelspannung"
"1146","SEE993827105563","Donau-Wasserkraft AG","Bittenbrunn E K1","86633","Neuburg","Kraftwerkstraße","8","Bayern","01.01.1969","","In Betrieb","Wasser","","Wasser","Nein","nein","7,00","6,73",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"1147","SEE906889375157","Donau-Wasserkraft AG","Bittenbrunn E K2","86633","Neuburg","Kraftwerkstraße","8","Bayern","01.01.1969","","In Betrieb","Wasser","","Wasser","Nein","nein","7,00","6,73",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"1148","SEE994048824899","Donau-Wasserkraft AG","Bittenbrunn E K3","86633","Neuburg","Kraftwerkstraße","8","Bayern","01.01.1969","","In Betrieb","Wasser","","Wasser","Nein","nein","7,00","6,73",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"1149","SEE953048986860","K+S Minerals and Agriculture GmbH","Fabrik NE GT Tr","36119","Neuhof","Am Kaliwerk","6","Hessen","02.07.2009","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,20","5,10",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","OsthessenNetz GmbH (SNB934071779865)","Hochspannung"
"1150","SEE938018666973","K+S Minerals and Agriculture GmbH","Fabrik NE GT Tr.","36119","Neuhof","Am Kaliwerk","6","Hessen","02.07.2009","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,19","5,10",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","OsthessenNetz GmbH (SNB934071779865)","Hochspannung"
"1151","SEE940821413552","K+S Minerals and Agriculture GmbH","Kraftwerk NE DT","36119","Neuhof","Am Kaliwerk","6","Hessen","02.07.1979","","In Betrieb","Wärme","","Wärme","Ja","nein","4,48","4,40",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","OsthessenNetz GmbH (SNB934071779865)","Hochspannung"
"1152","SEE933639931950","K+S Minerals and Agriculture GmbH","Kraftwerk NE GT KW","36119","Neuhof","Am Kaliwerk","6","Hessen","02.07.1990","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","1,83","1,80",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","OsthessenNetz GmbH (SNB934071779865)","Hochspannung"
"1153","SEE947712976042","K+S Minerals and Agriculture GmbH","Kraftwerk NE GT KW","36119","Neuhof","Am Kaliwerk","6","Hessen","02.07.1990","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","1,32","1,30",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","OsthessenNetz GmbH (SNB934071779865)","Hochspannung"
"1154","SEE998199911088","EnBW Energie Baden-Württemberg AG","Kraftwerk Lippendorf Block S","04575","Neukieritzsch","Hauptstraße","200","Sachsen","01.12.1999","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","942,00","891,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","50Hertz Transmission GmbH (SNB982046657236)","Höchstspannung"
"1155","SEE966331411864","Lausitz Energie Kraftwerke AG","Kraftwerk Lippendorf Block R","04575","Neukieritzsch","Hauptstraße","200","Sachsen","20.06.2000","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","942,00","891,00",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","50Hertz Transmission GmbH (SNB982046657236)","Höchstspannung"
"1156","SEE980004472600","Pfleiderer Gütersloh GmbH","KWK Neumarkt","92318","Neumarkt","Dreichlingerstraße","76","Bayern","19.07.2001","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","19,90","18,50",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","Stadtwerke Neumarkt i. d. OPf. Energie GmbH (SNB989365725226)","Mittelspannung"
"1157","SEE928382664095","Pfleiderer Gütersloh GmbH","KWK Neumarkt","92318","Neumarkt","Dreichlingerstraße","76","Bayern","19.07.2001","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","2,50","1,50",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","Stadtwerke Neumarkt i. d. OPf. Energie GmbH (SNB989365725226)","Mittelspannung"
"1158","SEE961021885321","SWN Stadtwerke Neumünster GmbH","D3","24534","Neumünster","Bismarckstraße","51","Schleswig-Holstein","01.01.1986","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","6,00","5,50",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Schleswig-Holstein Netz AG (SNB919861978666)","Mittelspannung"
"1159","SEE923340224045","SWN Stadtwerke Neumünster GmbH","D4","24534","Neumünster","Bismarckstraße","51","Schleswig-Holstein","18.01.2021","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","1,80","1,75",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Schleswig-Holstein Netz AG (SNB919861978666)","Mittelspannung"
"1160","SEE977770417713","SWN Stadtwerke Neumünster GmbH","T3","24534","Neumünster","Bismarckstraße","51","Schleswig-Holstein","06.07.1979","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","15,52","12,52",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Schleswig-Holstein Netz AG (SNB919861978666)","Mittelspannung"
"1161","SEE934591835126","SWN Stadtwerke Neumünster GmbH","T4","24534","Neumünster","Bismarckstraße","51","Schleswig-Holstein","07.11.1974","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","17,36","14,11",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Schleswig-Holstein Netz AG (SNB919861978666)","Mittelspannung"
