"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"508","SEE982138852266","Stadtwerke Greifswald GmbH","BHKW-Süd","17489","Greifswald","An der Jungfernwiese","8","Mecklenburg-Vorpommern","16.12.2020","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,19","4,10",NA,"Verbrennungsmotor","Volleinspeisung","Stadtwerke Greifswald GmbH (SNB926442995943)","Mittelspannung"
"509","SEE964447287038","Stadtwerke Greifswald GmbH","HKW Gasturbine 2","17489","Greifswald","An der Jungfernwiese","8","Mecklenburg-Vorpommern","01.01.1996","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,95","4,89",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","Stadtwerke Greifswald GmbH (SNB926442995943)","Mittelspannung"
"510","SEE975166535577","DSM Nutritional Products GmbH","Dampfturbine DT4","79639","Grenzach-Wyhlen","Emil-Barell-Straße","3","Baden-Württemberg","01.01.1979","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","8,20","8,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Hochspannung"
"511","SEE955111508221","DSM Nutritional Products GmbH","Dampfturbine DT5","79639","Grenzach-Wyhlen","Emil-Barell-Straße","3","Baden-Württemberg","21.03.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","8,65","8,43",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","ED Netze GmbH (SNB945502201350)","Hochspannung"
"512","SEE934531299087","DSM Nutritional Products GmbH","Gasturbine GT","79639","Grenzach-Wyhlen","Emil-Barell-Straße","3","Baden-Württemberg","07.11.2017","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","22,20","22,00",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","ED Netze GmbH (SNB945502201350)","Hochspannung"
"513","SEE921196877927","Energiedienst AG","KW Wyhlen Francis 06","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","31.12.1912","","In Betrieb","Wasser","","Wasser","Nein","ja","2,18","2,17",2.17,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"514","SEE935645540645","Energiedienst AG","KW Wyhlen Francis 07","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","31.12.1912","","In Betrieb","Wasser","","Wasser","Nein","ja","2,18","2,17",2.17,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"515","SEE911430024132","Energiedienst AG","KW Wyhlen Francis 08","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","31.12.1912","","In Betrieb","Wasser","","Wasser","Nein","ja","2,18","2,17",2.17,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"516","SEE910204132950","Energiedienst AG","KW Wyhlen Francis 09","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","31.12.1912","","In Betrieb","Wasser","","Wasser","Nein","ja","2,18","2,17",2.17,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"517","SEE934727232676","Energiedienst AG","KW Wyhlen Francis 10","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","31.12.1912","","In Betrieb","Wasser","","Wasser","Nein","ja","2,18","2,17",2.17,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
